Player,Club,Clearances,Clearances,Centre clr,Centre clr,Stoppages,Stoppages,Rebound50,Rebound50,Frees For,Frees For,Frees Agst,Frees Agst,Tackles,Tackles,One %s,One %s,Bounces,Bounces,Inside50,Inside50,Goals,Goals
,,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG
96 Katherine Gillespie-Jones,CARL,2,0.3,0,0,2,0.3,4,0.6,2,0.3,6,0.9,16,2.3,19,2.7,0,0,7,1,0,0
101 Deanna Berry,MELB,1,0.1,0,0,1,0.1,4,0.6,4,0.6,4,0.6,7,1,5,0.7,1,0.1,11,1.6,5,0.7
101 Jaimee Lambert,WB,16,2.7,4,0.7,12,2,1,0.2,8,1.3,1,0.2,15,2.5,1,0.2,2,0.3,7,1.2,5,0.8
103 Gabriella Pound,CARL,3,0.4,0,0,3,0.4,1,0.1,6,0.9,6,0.9,18,2.6,5,0.7,0,0,11,1.6,1,0.1
104 Stacey Barr,FRE,0,0,0,0,0,0,2,0.3,4,0.6,7,1,6,0.9,4,0.6,0,0,12,1.7,3,0.4
105 Lauren Brazzale,CARL,5,0.7,2,0.3,3,0.4,6,0.9,2,0.3,4,0.6,15,2.1,3,0.4,0,0,8,1.1,1,0.1
105 Katherine Smith,MELB,0,0,0,0,0,0,6,0.9,5,0.7,4,0.6,16,2.3,12,1.7,0,0,4,0.6,0,0
105 Lauren Tesoriero,COLL,18,3.6,3,0.6,15,3,2,0.4,2,0.4,5,1,18,3.6,3,0.6,0,0,4,0.8,0,0
105 Ellie Brush,GWS,3,0.5,0,0,3,0.5,2,0.3,2,0.3,2,0.3,16,2.7,2,0.3,1,0.2,6,1,1,0.2
105 Talia Radan,ADEL,3,0.4,0,0,3,0.4,10,1.3,5,0.6,6,0.8,7,0.9,14,1.8,0,0,3,0.4,0,0
110 Emma Grant,COLL,5,0.7,1,0.1,4,0.6,7,1,3,0.4,3,0.4,23,3.3,13,1.9,1,0.1,6,0.9,1,0.1
111 Nat Exon,CARL,4,0.8,1,0.2,3,0.6,2,0.4,2,0.4,4,0.8,18,3.6,3,0.6,0,0,8,1.6,0,0
